l,E1,E2,E3,E4
 4.200000000000,-1.300568602793, 0.263352677181, 1.238659128453, 2.803422048306
 4.400000000000,-1.451114806607, 0.250818574716, 1.222150738906, 2.783547655332
 4.600000000000,-1.602349070595, 0.238288268020, 1.205728646095, 2.763704105862
 4.800000000000,-1.754213803638, 0.225736492086, 1.189375253339, 2.743882337183
 5.000000000000,-1.906661435638, 0.213143578226, 1.173075952578, 2.724074152682
 5.200000000000,-2.059651986131, 0.200493766267, 1.156818529848, 2.704272105124
 5.400000000000,-2.213151354292, 0.187774081039, 1.140592706884, 2.684469397597
 5.600000000000,-2.367130083959, 0.174973564960, 1.124389784050, 2.664659799131
 5.800000000000,-2.521562450852, 0.162082741633, 1.108202359572, 2.644837572560
 6.000000000000,-2.676425774068, 0.149093233092, 1.092024106769, 2.624997412629
 6.200000000000,-2.831699887334, 0.135997481584, 1.075849595822, 2.605134392725
 6.400000000000,-2.987366726465, 0.122788543818, 1.059674150032, 2.585243918899
 6.600000000000,-3.143410002822, 0.109459936432, 1.043493728999, 2.565321690036
 6.800000000000,-3.299814941573, 0.096005518230, 1.027304833010, 2.545363663330
 7.000000000000,-3.456568069421, 0.082419399219, 1.011104424191, 2.525366024225
 7.200000000000,-3.613657040677, 0.068695869432, 0.994889861056, 2.505325160240
 7.400000000000,-3.771070493365, 0.054829342600, 0.978658843821, 2.485237638129
 7.600000000000,-3.928797929166, 0.040814311018, 0.962409368333, 2.465100183929
 7.800000000000,-4.086829612409, 0.026645309020, 0.946139687068, 2.444909665536
 8.000000000000,-4.245156484499, 0.012316883112, 0.929848275804, 2.424663077470
 8.200000000000,-4.403770090940,-0.002176432723, 0.913533804984, 2.404357527594
 8.400000000000,-4.562662518662,-0.016840137570, 0.897195114891, 2.383990225554
 8.600000000000,-4.721826341907,-0.031679780905, 0.880831193954, 2.363558472722
 8.800000000000,-4.881254575301,-0.046700977267, 0.864441159644, 2.343059653531
 9.000000000000,-5.040940632853,-0.061909418775, 0.848024241488, 2.322491228039
 9.200000000000,-5.200878292053,-0.077310885940, 0.831579765828, 2.301850725600
 9.400000000000,-5.361061662265,-0.092911256989, 0.815107142010, 2.281135739585
 9.600000000000,-5.521485156748,-0.108716516009, 0.798605849752, 2.260343923028
 9.800000000000,-5.682143467878,-0.124732760052, 0.782075427485, 2.239472985169
10.000000000000,-5.843031545013,-0.140966205398, 0.765515461448, 2.218520688808
10.200000000000,-6.004144574787,-0.157423193046, 0.748925575437, 2.197484848457
10.400000000000,-6.165477963334,-0.174110193584, 0.732305421051, 2.176363329227
10.600000000000,-6.327027320421,-0.191033811483, 0.715654668345, 2.155154046439
10.800000000000,-6.488788445019,-0.208200788886, 0.698972996796, 2.133854965924
11.000000000000,-6.650757312314,-0.225618008973, 0.682260086514, 2.112464105014
11.200000000000,-6.812930061914,-0.243292498904, 0.665515609648, 2.090979534180
11.400000000000,-6.975302987117,-0.261231432416, 0.648739221923, 2.069399379351
11.600000000000,-7.137872525126,-0.279442132095, 0.631930554294, 2.047721824873
11.800000000000,-7.300635248114,-0.297932071335, 0.615089204688, 2.025945117127
12.000000000000,-7.463587855049,-0.316708876037, 0.598214729786, 2.004067568794
12.200000000000,-7.626727164180,-0.335780326033, 0.581306636887, 1.982087563775
12.400000000000,-7.790050106131,-0.355154356301, 0.564364375789, 1.960003562762
12.600000000000,-7.953553717564,-0.374839057921, 0.547387330761, 1.937814109471
12.800000000000,-8.117235135280,-0.394842678847, 0.530374812545, 1.915517837527
13.000000000000,-8.281091590826,-0.415173624467, 0.513326050442, 1.893113477999
13.200000000000,-8.445120405457,-0.435840457969, 0.496240184499, 1.870599867608
13.400000000000,-8.609318985480,-0.456851900518, 0.479116257790, 1.847975957557
13.600000000000,-8.773684817935,-0.478216831229, 0.461953208870, 1.825240823027
13.800000000000,-8.938215466563,-0.499944286978, 0.444749864357, 1.802393673273
14.000000000000,-9.102908568057,-0.522043461978, 0.427504931763, 1.779433862356
14.200000000000,-9.267761828564,-0.544523707164, 0.410216992525, 1.756360900435
14.400000000000,-9.432773020428,-0.567394529355, 0.392884495322, 1.733174465620
14.600000000000,-9.597939979115,-0.590665590157, 0.375505749727, 1.709874416353
14.800000000000,-9.763260600368,-0.614346704605, 0.358078920184, 1.686460804225
15.000000000000,-9.928732837512,-0.638447839510, 0.340602020397, 1.662933887238
15.200000000000,-10.094354698944,-0.662979111462, 0.323072908153, 1.639294143365
15.400000000000,-10.260124245757,-0.687950784446, 0.305489280631, 1.615542284425
15.600000000000,-10.426039589516,-0.713373267067, 0.287848670235, 1.591679270075
15.800000000000,-10.592098890164,-0.739257109267, 0.270148440997, 1.567706321921
16.000000000000,-10.758300354047,-0.765612998512, 0.252385785590, 1.543624937547
16.200000000000,-10.924642232039,-0.792451755409, 0.234557723013, 1.519436904386
16.400000000000,-11.091122817783,-0.819784328641, 0.216661096959, 1.495144313272
16.600000000000,-11.257740446027,-0.847621789171, 0.198692574939, 1.470749571519
16.800000000000,-11.424493491056,-0.875975323655, 0.180648648197, 1.446255415348
17.000000000000,-11.591380365187,-0.904856226982, 0.162525632453, 1.421664921520
17.200000000000,-11.758399517354,-0.934275893847, 0.144319669518, 1.396981517939
17.400000000000,-11.925549431783,-0.964245809329, 0.126026729825, 1.372208993038
17.600000000000,-12.092828626685,-0.994777538363, 0.107642615924, 1.347351503784
17.800000000000,-12.260235653091,-1.025882714073, 0.089162966964, 1.322413582002
18.000000000000,-12.427769093663,-1.057573024876, 0.070583264201, 1.297400138902
18.200000000000,-12.595427561607,-1.089860200347, 0.051898837598, 1.272316467506
18.400000000000,-12.763209699652,-1.122755995762, 0.033104873495, 1.247168242840
18.600000000000,-12.931114179032,-1.156272175330, 0.014196423423, 1.221961519616
18.800000000000,-13.099139698544,-1.190420494067,-0.004831585931, 1.196702727287
19.000000000000,-13.267284983658,-1.225212678346,-0.023984341592, 1.171398662227
19.200000000000,-13.435548785639,-1.260660405104,-0.043267131999, 1.146056476948
19.400000000000,-13.603929880731,-1.296775279764,-0.062685333496, 1.120683666192
19.600000000000,-13.772427069366,-1.333568812957,-0.082244395705, 1.095288049788
19.800000000000,-13.941039175416,-1.371052396047,-0.101949825685, 1.069877752273
20.000000000000,-14.109765045464,-1.409237275627,-0.121807171039, 1.044461179187
