z,E1,E2,E3,E4
0.0,-7.170507886184874,1.650735415821877,3.1769943324058048,4.890237620704183
0.012,-7.480877176772437,1.595466780511041,2.9711638436549643,4.792275510801201
0.024,-7.791360262593943,1.539188986542064,2.7618890186654634,4.696690778825142
0.036000000000000004,-8.101955105483425,1.4815122778904648,2.550071414928692,4.602995030785506
0.048,-8.41265973120362,1.421777660332869,2.3368012833425675,4.510775661141521
0.06,-8.723472226391978,1.358793259737614,2.123632040875157,4.419685141457425
0.07200000000000001,-9.03439073574659,1.2902382598828446,1.9131871606104323,4.329430297875586
0.084,-9.34541345935858,1.2113086556906036,1.7105242457926149,4.239762575528181
0.096,-9.65653865024926,1.1123135790420535,1.52554716913092,4.150469651989068
0.108,-9.967764612019597,0.9791610508910447,1.3725273947045975,4.061368430475306
0.12,-10.279089696691017,0.8064968968253007,1.2569708682367207,3.972299291701656
0.132,-10.590512302633272,0.6051919410637946,1.1681355376772653,3.883121429801621
0.14400000000000002,-10.902030872635653,0.38781938581735725,1.0935577792336297,3.793709093387766
0.156,-11.21364389207255,0.16152222260963528,1.026188047259653,3.7039485698694463
0.168,-11.525349887196754,-0.0702134746351651,0.9626200392265206,3.613735776117916
0.18,-11.837147423494617,-0.30562677109918085,0.9011608880429456,3.5229743438892305
0.192,-12.149035104169144,-0.5437548988617293,0.840905766866245,3.4315741115368588
0.20400000000000001,-12.461011568652662,-0.7840271545204024,0.7813330441306973,3.339449953351691
0.216,-12.77307549125869,-1.026079916770442,0.7221202970821738,3.24652089414789
0.228,-13.085225579856733,-1.2696666711109774,0.6630551164449079,3.152709470187179
0.24,-13.39746057462725,-1.5146112557633147,0.6039889510585638,3.0579413080781483
0.252,-13.709779246882551,-1.7607820625290174,0.5448117526720907,2.9621449018571107
0.264,-14.02218039794479,-2.0080770247523936,0.4854372727291419,2.8652515751809693
0.276,-14.334662858097792,-2.2564144652709945,0.42579409785957506,2.7671956205652264
0.28800000000000003,-14.647225485545528,-2.505727283143694,0.36581991206560543,2.6679146115632184
0.3,-14.95986716543214,-2.7559591246564,0.30545763626509886,2.5673498864103697
0.312,-15.272586808963329,-3.007061778616517,0.24465268645180546,2.4654472033666446
0.324,-15.585383352485085,-3.2589933525764714,0.18335090550568447,2.3621575689152245
0.336,-15.898255756662152,-3.511716962484321,0.12149689596505585,2.257438240017267
0.34800000000000003,-16.21120300566136,-3.7651997689824355,0.05903257922949623,2.1512539012377987
0.36,-16.52422410639931,-4.019412253610805,-0.004104136210583258,2.043578016628662
0.372,-16.837318087787907,-4.2743276648333515,-0.06798066082689264,1.9343943550044047
0.384,-17.150484000059986,-4.529921586577775,-0.13267106674175047,1.8236986857695632
0.396,-17.463720914058076,-4.786171596993437,-0.19825751584488663,1.7115006407828603
0.40800000000000003,-17.777027920620498,-5.043056994677164,-0.26483181219970797,1.5978257351119494
0.42,-18.09040412995962,-5.300558576174396,-0.33249710837862595,1.4827175362158864
0.432,-18.40384867105204,-5.558658453044256,-0.40136978433445286,1.366239964612703
0.444,-18.717360691085506,-5.817339899781127,-0.47158150168506197,1.2484796985249849
0.456,-19.030939354906778,-6.076587226213492,-0.543281412345046,1.129548636663086
0.468,-19.34458384449562,-6.336385669452088,-0.6166384644329562,1.0095863433862935
0.48,-19.658293358468033,-6.596721301598753,-0.6918436949276541,0.8887623541617379
0.492,-19.972067111596314,-6.857580950434798,-0.7691123237821338,0.7672781512245881
0.504,-20.285904334323195,-7.11895213062711,-0.848685364327084,0.645368526502339
0.516,-20.599804272333646,-7.380822983887772,-0.9308303425261645,0.5233019329975751
0.528,-20.9137661861262,-7.643182226410328,-1.015840585351276,0.40137929854545273
0.54,-21.227789350570283,-7.906019102579529,-1.104032425973104,0.2799306675752867
0.552,-21.54187305454715,-8.169323343981157,-1.195739633918277,0.15930899934620857
0.5640000000000001,-21.8560166005317,-8.433085132873874,-1.2913044876654851,0.03988056167920307
0.5760000000000001,-22.170219304256467,-8.697295069590176,-1.3910652465128606,-0.07798830189783856
0.588,-22.48448049429644,-8.961944143263004,-1.4953403930195404,-0.19394764026680483
0.6,-22.798799511790623,-9.227023705436853,-1.604410855531291,-0.30768237124161696
0.612,-23.113175710062464,-9.49252544625403,-1.7185022832138224,-0.41893067905623155
0.624,-23.427608454329427,-9.758441372834612,-1.8377700082906163,-0.5274996868018694
0.636,-23.74209712137319,-10.02476378962243,-1.9622892623458184,-0.633275828117053
0.648,-24.056641099237467,-10.2914852804507,-2.0920523841277405,-0.7362281753143379
0.66,-24.371239786958437,-10.558598692145452,-2.226973363765239,-0.8364043760491089
0.672,-24.685892594279835,-10.826097119464766,-2.3668985903137,-0.9339203308265892
0.684,-25.000598941355257,-11.093973891305197,-2.511621617331777,-1.0289457978516312
0.6960000000000001,-25.31535825853646,-11.362222557946502,-2.6608994178958683,-1.121688456164129
0.708,-25.630169986074925,-11.6308368792951,-2.8144679216904716,-1.2123786378036012
0.72,-25.945033573900975,-11.899810814019165,-2.9720553387954003,-1.301256228519695
0.732,-26.259948481389333,-12.169138509442304,-3.13339256071537,-1.3885604505306912
0.744,-26.574914177115694,-12.438814292209134,-3.2982205680868004,-1.474522602503812
0.756,-26.88993013864037,-12.708832659557611,-3.4662951793294154,-1.5593614264923639
0.768,-27.204995852312248,-12.979188271220032,-3.6373896610266505,-1.6432805851791932
0.78,-27.520110813017336,-13.249875941827879,-3.8112957505764253,-1.726467702279701
0.792,-27.835274524038315,-13.52089063386197,-3.98782358278576,-1.8090944778303886
0.804,-28.15048649678814,-13.792227451006225,-4.166800916268555,-1.8913174849761558
0.8160000000000001,-28.465746250692842,-14.063881631967579,-4.348071955901927,-1.9732793545052916
0.8280000000000001,-28.781053312944778,-14.335848544614075,-4.531495979832583,-2.055110140282854
0.84,-29.096407218374438,-14.608123680536398,-4.716945910099866,-2.1369287279953095
0.852,-29.411807509234258,-14.880702649868901,-4.904306914007931,-2.218844200993337
0.864,-29.72725373507975,-15.153581176464797,-5.093475086948799,-2.3009571132065534
