z,E1,E2
1.0,-7.170438622254216,3.2985208000765844
1.018,-7.546503338215504,3.0811737452617693
1.036,-7.923260072008363,2.860235493653626
1.054,-8.300689612588021,2.635889947088874
1.072,-8.678773434459636,2.408328252885962
1.09,-9.057493659540508,2.17774506123293
1.108,-9.43683302270592,1.9443352343844398
1.126,-9.816774840533634,1.7082910614296247
1.144,-10.197302982832985,1.4697999920557077
1.162,-10.5784018466046,1.2290428713222703
1.18,-10.960056332127516,0.9861926354489073
1.198,-11.342251820913916,0.7414134152497355
1.216,-11.724974155308187,0.49485998766692396
1.234,-12.10820961953839,0.2466775151412704
1.252,-12.491944922055099,-0.002998484363326056
1.27,-12.876167179014837,-0.2540419884421144
1.288,-13.260863898785361,-0.5063361875861183
1.306,-13.646022967366141,-0.7597731069510693
1.3239999999999998,-14.031632634632002,-1.0142531639830334
1.342,-14.417681501319834,-1.269684687130565
1.3599999999999999,-14.80415850668878,-1.5259834154115703
1.378,-15.191052916793435,-1.7830719939411466
1.396,-15.578354313316954,-2.0408794766444283
1.414,-15.966052582917987,-2.299340844217972
1.432,-16.354137907050603,-2.5583965428786812
1.45,-16.74260075222177,-2.817992047463628
1.468,-17.131431860654555,-3.0780774509214255
1.486,-17.520622241329527,-3.3386070810920163
1.504,-17.91016316137945,-3.599539144824996
1.5219999999999998,-18.300046137815134,-3.86083539888016
1.54,-18.690262929563062,-4.122460846635495
1.5579999999999998,-19.080805529796837,-4.3843834593505315
1.576,-19.471666158546757,-4.646573920565507
1.5939999999999999,-19.86283725557297,-4.90900539213182
1.612,-20.254311473489334,-5.171653300341894
1.63,-20.646081671125835,-5.4344951406430635
1.648,-21.038140907118866,-5.697510299466196
1.666,-21.430482433719217,-5.960679891765596
1.684,-21.823099690808604,-6.223986612943581
1.702,-22.21598630011598,-6.487414603918969
1.72,-22.609136059625875,-6.750949328185232
1.738,-23.00254293817105,-7.014577459791504
1.7559999999999998,-23.39620107020266,-7.278286781265253
1.774,-23.79010475073122,-7.54206609057545
1.7919999999999998,-24.1842484304321,-7.805905116313493
1.81,-24.578626710909944,-8.069794440341337
1.8279999999999998,-24.97323434011594,-8.333725427222738
1.846,-25.36806620791316,-8.597690159816707
1.8639999999999999,-25.763117341784405,-8.861681380467704
1.882,-26.158382902678106,-9.125692437282066
1.9,-26.5538581809874,-9.389717235025776
1.918,-26.949538592657834,-9.653750190222313
1.936,-27.34541967541979,-9.9177861900709
1.954,-27.741497085141273,-10.181820554839192
1.972,-28.137766592296828,-10.445849003417553
1.9899999999999998,-28.53422407854943,-10.709867621752652
2.008,-28.93086553344119,-10.973872833903377
2.026,-29.3276870511891,-11.237861375485775
2.0439999999999996,-29.72468482758328,-11.501830269299056
2.062,-30.12185515698329,-11.765776802938
2.08,-30.519194429410216,-12.029698508222019
2.098,-30.916699127730837,-12.293593142281182
2.1159999999999997,-31.31436582493123,-12.557458670157795
2.134,-31.71219118147671,-12.821293248793193
2.152,-32.11017194275537,-13.085095212283923
2.17,-32.50830493660249,-13.348863058295986
2.1879999999999997,-32.90658707090319,-13.612595435544907
2.206,-33.30501533127083,-13.876291132249294
2.224,-33.70358677879844,-14.139949065478227
2.242,-34.10229854788127,-14.403568271319504
2.26,-34.50114784410776,-14.667147895800571
2.2779999999999996,-34.90013194221667,-14.930687186501839
2.296,-35.29924818411845,-15.194185484805368
2.314,-35.6984939769788,-15.457642218729788
2.332,-36.09786679136194,-15.721056896301809
2.3499999999999996,-36.49736415943197,-15.984429099424853
2.368,-36.89698367321085,-16.247758478204236
2.386,-37.29672298288985,-16.51104474569134
2.404,-37.69657979519433,-16.774287673018517
2.4219999999999997,-38.096551871798795,-17.037487084889637
2.44,-38.49663702779147,-17.300642855402902
2.458,-38.89683313018605,-17.563754904177248
2.476,-39.2971380964798,-17.826823192762426
2.4939999999999998,-39.697549893255754,-18.089847721307567
2.5119999999999996,-40.09806653482836,-18.352828525472987
2.53,-40.49868608193031,-18.615765673562745
2.548,-40.89940664043994,-18.878659263866332
2.566,-41.30022636014742,-19.141509422188104
2.5839999999999996,-41.70114343355861,-19.40431629955647
2.602,-42.10215609473548,-19.66708007009575
2.62,-42.50326261817145,-19.92980092904975
2.638,-42.904461317701255,-20.192479090947838
2.6559999999999997,-43.305750545443544,-20.45511478790017
2.674,-43.70712869077535,-20.717708268015574
2.692,-44.108594179337615,-20.98025979393092
2.71,-44.51014547207036,-21.242769641446387
2.7279999999999998,-44.911781064276994,-21.50523809825645
2.7459999999999996,-45.313499484716466,-21.767665462773444
2.764,-45.715299294722335,-22.03005204303177
2.782,-46.11717908734845,-22.292398155673773
2.8,-46.51913748653939,-22.554704125005255
