z,E1,E2,E3,E4
0.0,-7.170438622254175,3.2209478521296244,7.444476813810428,18.138674139558358
0.012,-7.480806903142426,2.998046655673362,7.264458667240696,17.877611400821245
0.024,-7.791288730804543,2.7735304201045583,7.08563171332467,17.617001416918516
0.036000000000000004,-8.101882062716784,2.5474415784578563,6.907944416627619,17.356850656960344
0.048,-8.412584919216108,2.3198233589268056,6.731344332632013,17.097165759881765
0.06,-8.723395380604774,2.090719464946535,6.555778418670314,16.837953540415313
0.07200000000000001,-9.034311584437807,1.8601737822526918,6.381193317927578,16.579220995202167
0.084,-9.34533172297825,1.6282301144946276,6.207535614931181,16.320975309019484
0.096,-9.656454040808104,1.3949319480851956,6.034752061840667,16.06322386113271
0.108,-9.967676832582054,1.1603222462027134,5.862789775626001,15.805974231740313
0.12,-10.278998440914092,0.924443271225368,5.691596406852123,15.549234208512686
0.132,-10.590417254386244,0.6873364343756359,5.521120281305065,15.293011793201782
0.14400000000000002,-10.901931705671517,0.4490421709754877,5.351310516064409,15.037315208297601
0.156,-11.213540269761534,0.2095998394486427,5.182117111902826,14.782152903722023
0.168,-11.525241462292714,-0.030952357956927794,5.013491024053512,14.527533563519068
0.18,-11.837033837962954,-0.27257743483319535,4.845384213478993,14.273466112530231
0.192,-12.148915989033412,-0.5152396627794263,4.677749680777711,14.019959722999518
0.20400000000000001,-12.46088654390867,-0.7589045981444098,4.510541484835534,13.767023821105303
0.216,-12.772944165790884,-1.0035390953300884,4.343714748239793,13.514668093344469
0.228,-13.085087551402687,-1.2491113085263774,4.17722565136658,13.262902492745223
0.24,-13.397315429774036,-1.4955906836121722,4.011031416922261,13.011737244855968
0.252,-13.709626561089069,-1.7429479418103426,3.845090286574782,12.76118285344924
0.264,-14.022019735589554,-1.9911550565343115,3.6793614911715182,12.511250105885694
0.276,-14.334493772530719,-2.2401852247106353,3.513805215887623,12.261950078069109
0.28800000000000003,-14.647047519186664,-2.4900128337183274,3.348382561515213,12.01329413893314
0.3,-14.959679849901942,-2.7406134249433354,3.1830555029669036,11.765293954356007
