z,E1,E2,E3,E4
1.9,-26.64428019438326,-10.796952447984317,0.13362370224204953,6.041519138187304
1.915,-26.97772664017222,-11.05986114049679,-0.025098344977576483,5.901682732023322
1.93,-27.311400547049903,-11.323375014630312,-0.18568706312110397,5.763996987210447
1.9449999999999998,-27.645299733628757,-11.587485472259695,-0.34811479653374644,5.628415882217977
1.96,-27.979422055756597,-11.852184093263295,-0.5123505892458177,5.494890121803604
1.975,-28.313765405545986,-12.11746262765413,-0.6783605305242393,5.363367467061154
1.99,-28.648327710437318,-12.383312988400217,-0.8461081111819732,5.233793076641015
2.005,-28.983106932293918,-12.649727244871737,-1.0155545844338918,5.106109852873386
2.02,-29.31810106652798,-12.916697616858032,-1.1866593254714066,4.98025878688651
2.035,-29.653308141255707,-13.184216469100694,-1.359380184442884,4.856179297339861
2.05,-29.988726216481407,-13.452276306296513,-1.533673828166179,4.733809558024154
2.065,-30.324353383308033,-13.720869768524016,-1.7094960665880177,4.613086810293613
2.08,-30.66018776317469,-13.989989627054548,-1.8868021607477317,4.493947657026818
2.0949999999999998,-30.996227507118434,-14.259628780510752,-2.065547109740446,4.376328335536782
2.11,-31.332470795060768,-14.529780251338384,-2.2456859148729085,4.260164967598274
2.125,-31.66891583511702,-14.800437182559934,-2.427173819886102,4.14539378539502
2.1399999999999997,-32.005560862927844,-15.071592834783846,-2.6099665267071597,4.0319513328004835
2.1550000000000002,-32.34240414101301,-15.34324058344143,-2.7940203867251467,3.9197746419496298
2.17,-32.67944395814399,-15.61537391622923,-2.9792925680342477,3.8088013854898604
2.185,-33.01667862873838,-15.887986430735355,-3.1657411994525853,3.6989700052848566
2.2,-33.35410649227208,-16.1610718322302,-3.353325492422777,3.5902198186162013
2.215,-33.69172591271018,-16.434623931604147,-3.542005842111059,3.4824911031836687
2.23,-34.02953527795537,-16.708636643436893,-3.731743909179226,3.3757251623156987
2.245,-34.36753299931357,-16.983103984181565,-3.92250268379294,3.2698643719253284
2.26,-34.70571751097545,-17.258020070454123,-4.114246533478294,3.164852210796736
2.275,-35.04408726951457,-17.53337911741365,-4.30694123644367,3.06063327574532
2.29,-35.382640753399215,-17.809175437223004,-4.500554001935858,2.9571532832475707
2.3049999999999997,-35.72137646252063,-18.08540343758199,-4.695053479171603,2.8543590589808043
2.32,-36.0602929177336,-18.362057620322012,-4.890409756275563,2.7521985167329173
2.335,-36.39938866041201,-18.639132580057485,-5.08659435059512,2.650620627981441
2.3499999999999996,-36.738662252016596,-18.916623002882908,-5.283580191639693,2.549575383387402
2.365,-37.078112273675565,-19.19452366511454,-5.481341597804711,2.4490137473316147
2.38,-37.41773732577735,-19.472829432066572,-5.67985424792418,2.3488876065231823
2.395,-37.757536027575235,-19.751535256859874,-5.879095148597577,2.2491497136075
2.41,-38.09750701680299,-20.030636179257787,-6.079042598136413,2.149753626603105
2.425,-38.43764894930201,-20.310127324525055,-6.279676147872838,2.050653644922952
2.44,-38.777960498657684,-20.590003902307195,-6.4809765614931685,1.951804742617035
2.455,-39.11844035584779,-20.8702612055275,-6.6829257729666915,1.8531624994466884
2.4699999999999998,-39.4590872288991,-21.150894609297783,-6.885506843566162,1.7546830302739234
2.485,-39.79989984255416,-21.43189956984261,-7.088703918406054,1.6563229132443664
2.5,-40.1408769379472,-21.713271623432593,-7.292502182863416,1.558039117153224
