theta,ReE,ImE,der
0.0,3.0829031575300685,-3.0406718831984154e-16,0.025236443411931958
0.16,3.0829983676892065,-0.004036708284399636,0.025218649773164598
0.32,3.083284074586178,-0.008060972927993177,0.02519956220258544
0.48,3.08376050570576,-0.012060298641209137,0.02514701625486943
0.64,3.084428034093783,-0.016022086565563275,0.02507532095238097
0.8,3.085287169085549,-0.01993358180922256,0.024986403397914015
0.96,3.0863385429427406,-0.02378182019716773,0.024882824041634187
1.12,3.087582893097407,-0.027553574002167923,0.024767837984625368
1.28,3.0890210394864157,-0.03123529647930208,0.024645468335989892
1.44,3.0906538564598445,-0.034813065057880795,0.02452058952679974
1.6,3.092482238454192,-0.03827252314574973,0.024399016980766203
1.76,3.094507058658508,-0.041598820563959964,0.0242875975592809
1.92,3.0967291196442512,-0.04477655277386661,0.024194292208976863
2.08,3.099149094734477,-0.0477896992511184,0.024128239188575745
2.24,3.101767458919995,-0.05062156150133198,0.024099782574807764
2.4,3.1045844077102775,-0.05325470157893944,0.024120447650263853
2.56,3.107599762350991,-0.05567088226873974,0.024202843721015596
2.72,3.110812859670306,-0.05785101051930606,0.0243604763207027
2.88,3.114222424690382,-0.05977508630244329,0.02460745734794219
3.04,3.1178264242118465,-0.06142215969657915,0.02495811349176951
3.2,3.1216218996622787,-0.06277029982258742,0.025426509682644788
3.36,3.1256047778942846,-0.06379658009018947,0.026025921670554432
3.52,3.129769658988306,-0.06447708542609364,0.02676830622842719
3.68,3.134109581272976,-0.06478694806726992,0.027663822036843717
3.84,3.138615764815394,-0.06470041988667817,0.028720446557366927
4.0,3.1432773367290223,-0.0641909900897968,0.02994371624210985
4.16,3.148081043996696,-0.06323155806672483,0.03133659230554655
4.32,3.1530109627171194,-0.061794671468266275,0.032899433145956926
4.48,3.1580482165794237,-0.05985283901021116,0.03463004118386508
4.64,3.1631707217711016,-0.057378925795087875,0.03652374922972572
4.8,3.168352980090596,-0.05434663563251059,0.03857352040478892
4.96,3.173565946487433,-0.05073107925610791,0.04077004938174773
5.12,3.1787770002558275,-0.04650941979015832,0.04310186802609853
5.28,3.183950050131615,-0.04166157686165883,0.045555472787544356
5.44,3.189045800998604,-0.03617095930850275,0.048115498510484245
5.6000000000000005,3.1940222028013374,-0.030025184731767324,0.050764965991362446
5.76,3.19883509015445,-0.023216733878019962,0.05348562497757694
5.92,3.2034390039330756,-0.015743481809443148,0.05625840219203486
6.08,3.207788165834691,-0.007609048132236027,0.05906394763363894
6.24,3.211837555845488,0.0011770829283439972,0.06188325287198116
6.4,3.2155440249843537,0.010599704574101287,0.06469829769623202
6.5600000000000005,3.218867365010698,0.020638299517775405,0.06749267075336927
6.72,3.2217712564858707,0.03126770247576207,0.07025210680387081
6.88,3.224224026909508,0.042458967109947024,0.0729648917592344
7.04,3.2261991709131346,0.054180371411069926,0.07562210270636377
7.2,3.2276756101787454,0.06639848473115355,0.07821767228744053
7.36,3.228637697859381,0.07907922017222875,0.0807482883988651
7.5200000000000005,3.2290749956340448,0.0921888057374914,0.08321315734055372
7.68,3.2289818682495643,0.10569462457028711,0.08561367031375151
7.84,3.2283569486969097,0.11956589428143324,0.08795301545818958
8.0,3.227202528066465,0.13377417453549156,0.0902357744762924
8.16,3.225523918582408,0.14829370808095918,0.0924675357184314
8.32,3.2233288293905296,0.16310161201283352,0.09465454567908634
8.48,3.2206267840571976,0.17817794276904733,0.09680341172430418
8.64,3.2174285983968693,0.19350566114915682,0.09892086070639289
8.8,3.2137459283531054,0.20907052305302443,0.10101355239237214
8.96,3.2095908905241473,0.22486091927600507,0.10308794299383443
9.120000000000001,3.2049757529810323,0.24086768401056532,0.1051501911987284
9.28,3.1999126907423174,0.25708388774886304,0.10720609932645017
9.44,3.1944135985020043,0.27350462657159713,0.10926108221305421
9.6,3.188489952477967,0.2901268163769768,0.11132015649026974
9.76,3.182152713473488,0.3069489977801551,0.11338794496117245
9.92,3.175412263583692,0.32397115530431125,0.11546869130623474
10.08,3.1682783699401873,0.3411945526588548,0.11756628107122019
10.24,3.160760169724093,0.35862158477228373,0.11968426668174709
10.4,3.1528661715544617,0.37625564637996184,0.12182589380565471
10.56,3.1446042693286422,0.39410101633050604,0.12399412805197438
10.72,3.1359817651416977,0.4121627565773095,0.12619168089773908
10.88,3.1270053988074173,0.4304466244915828,0.12842103399980098
11.040000000000001,3.117681381880696,0.44895899719914106,0.1306844617264913
11.200000000000001,3.108015434632783,0.4677068065297184,0.132984051598978
11.36,3.0980128247671623,0.4866974833482459,0.13532172256845187
11.52,3.0876784070062646,0.505938910003359,0.13769924141323236
11.68,3.0770166628047275,0.5254393798633151,0.14011823670570137
11.84,3.066031739897162,0.5452075628156257,0.14258021119642672
12.0,3.0547274911038045,0.5652524759943695,0.1450865524540524
12.16,3.043107512436476,0.5855834587835235,0.1476385414948309
12.32,3.0311751801815485,0.6062101514868282,0.15023736038113283
12.48,3.01893368699646,0.6271424769987171,0.15288409820606202
12.64,3.0063860769375457,0.6483906249323232,0.1555797558801749
12.8,2.9935352794853625,0.6699650377113634,0.15832524983110982
12.96,2.9803841425446373,0.6918763982142904,0.16112141475204195
13.120000000000001,2.966935464463306,0.714135618556598,0.16396900540282963
13.280000000000001,2.9531920251388013,0.7367538297109708,0.16686869763440804
13.44,2.9391566162405387,0.7597423716366307,0.1698210886831892
13.6,2.9248320706093307,0.7831127836762338,0.1728266968344976
13.76,2.910221290818444,0.8068767949352826,0.17588596052727984
13.92,2.895327276997014,0.8310463144887246,0.1789992369817375
