theta,ReE,ImE,der
0.0,3.030451422831459,2.0290012956380103e-12,0.03918792306043653
0.16,3.030549009239927,-0.006269308231414623,0.03917056157890722
0.32,3.0308416516494727,-0.012528503893363477,0.03914326171226143
0.48,3.0313289952961493,-0.01876743951740759,0.039079930997938606
0.64,3.032010434326316,-0.024975898787985853,0.038990764388797484
0.8,3.0328850899295556,-0.031143564495501985,0.038875258813365565
0.96,3.0339517795456103,-0.03725998949352425,0.03873276873663201
1.12,3.0352089771973394,-0.043314571847549575,0.038562508009497835
1.28,3.0366547648501236,-0.049296535579149474,0.038363553165132736
1.44,3.038286775033687,-0.05519491857708172,0.0381348488450027
1.6,3.0401021248783233,-0.06099856953905042,0.03787521614019431
1.76,3.042097342331742,-0.06669615597861547,0.0375833648260198
1.92,3.04426828548258,-0.0722761856017642,0.03725791064948465
2.08,3.0466100564954144,-0.07772704356008642,0.03689739885448054
2.24,3.0491169125418964,-0.08303704805436195,0.03650033520088818
2.4,3.051782176604225,-0.08819452682520941,0.03606522581867086
2.56,3.0545981522604575,-0.0931879166733014,0.035590626907552526
2.72,3.0575560474515875,-0.09800588755120017,0.03507520492143342
2.88,3.060645913186045,-0.10263749185155256,0.034517807407582556
3.04,3.063856604126705,-0.107072338040996,0.033917543630998206
3.2,3.0671757684564622,-0.1113007859800736,0.03327387291956967
3.36,3.0705898745458042,-0.11531415897372346,0.03258669734324209
3.52,3.074084281215652,-0.11910496512503838,0.03185645364783534
3.68,3.077643356950098,-0.12266711789436457,0.031084198056098487
3.84,3.081250650692781,-0.12599614368746997,0.03027167617102963
4.0,3.084889113530843,-0.12908936255235903,0.029421369894271035
4.16,3.088541366227568,-0.13194602781730183,0.028536513895039903
4.32,3.0921900030508414,-0.13456741159084526,0.02762107550009097
4.48,3.0958179181328527,-0.13695682570492385,0.02667969474963167
4.64,3.0994086373222025,-0.13911957197120317,0.025717585495553388
4.8,3.1029466367683445,-0.14106282115932053,0.02474040181921843
4.96,3.10641762980122,-0.14279542566593847,0.02375407825303185
5.12,3.1098088059703426,-0.1443276765616339,0.022764655403644606
5.28,3.1131090102227486,-0.1456710198683278,0.02177810333220351
5.44,3.1163088554340104,-0.14683774941944247,0.02080015584488187
5.6000000000000005,3.1194007671376474,-0.14784069456571278,0.019836165832369385
5.76,3.122378964489968,-0.1486929190433186,0.01889098958066806
5.92,3.1252393856955125,-0.14940744515576276,0.017968904773392514
6.08,3.1279795689037315,-0.14999701325381462,0.01707356238134027
6.24,3.1305985008213097,-0.15047388257348684,0.016207970548785623
6.4,3.1330964452585346,-0.15084967571475777,0.015374506096076329
6.5600000000000005,3.135474762683656,-0.15113526578668698,0.014574948052829696
6.72,3.137735730130677,-0.15134070283653198,0.013810527160946707
6.88,3.139882368647845,-0.15147517470575786,0.013081985747600926
7.04,3.1419182834815356,-0.15154699655056014,0.012389642957557312
7.2,3.1438475201600538,-0.15156362324786438,0.011733461078757869
7.36,3.145674438105476,-0.15153167904766374,0.011113110111837137
7.5200000000000005,3.1474036021109066,-0.15145699953106206,0.010528028359593974
7.68,3.149039691109923,-0.15134468157958114,0.009977477606205449
7.84,3.150587423020344,-0.15119913786997166,0.009460592377452759
8.0,3.1520514941467486,-0.15102415312887765,0.008976422985966606
8.16,3.153436531372018,-0.15082294006686292,0.00852397245853194
8.32,3.154747055420076,-0.15059819347665396,0.008102227912931699
8.48,3.155987453499633,-0.15035214143571765,0.007710186425752582
8.64,3.157161959738387,-0.15008659303706143,0.007346876323042085
8.8,3.1582746420852126,-0.14980298215838056,0.0070113741253910455
8.96,3.1593293943789647,-0.14950240725023511,0.006702817360022547
9.120000000000001,3.160329932579484,-0.14918566708836614,0.006420413918859168
9.28,3.161279794250275,-0.14885329264884128,0.006163447907929103
9.44,3.16218234055185,-0.14850557529243522,0.00593128230054399
9.6,3.1630407601314383,-0.14814259150844133,0.005723358400105877
9.76,3.163858074388974,-0.14776422448009605,0.005539192450043957
9.92,3.164637143755063,-0.14737018274887656,0.0053783694592221655
10.08,3.1653806745997626,-0.14696001622998517,0.005240534591686589
10.24,3.166091226559211,-0.14653312985075717,0.005125382770476614
10.4,3.166771220054455,-0.14608879503783476,0.0050326471013992765
10.56,3.1674229438627854,-0.1456261592839057,0.0049620870669027685
10.72,3.1680485626087735,-0.1451442539846634,0.004913477491015023
10.88,3.1686501240965548,-0.14464200073527445,0.004886599341661747
11.040000000000001,3.1692295664154315,-0.14411821624242616,0.004881233243653184
11.200000000000001,3.1697887247723338,-0.14357161599938248,0.004897156348333003
11.36,3.1703293380217152,-0.14300081684887234,0.004934142836328756
11.52,3.170853054873056,-0.14240433854508464,0.004991967887355765
11.68,3.1713614397638055,-0.1417806044125065,0.005070414607826849
11.84,3.1718559783976548,-0.1411279411858194,0.0051692831117265735
12.0,3.1723380829442527,-0.14044457810237818,0.005288400820788096
12.16,3.1728090969097815,-0.13972864531122256,0.005427633057678484
12.32,3.1732702996803694,-0.1389781716512985,0.005586893149458263
12.48,3.1737229107518883,-0.13819108184293183,0.005766151444323521
12.64,3.174168093651865,-0.13736519313277706,0.005965442875283958
12.8,3.174606959564767,-0.13649821142190693,0.006184872943378229
12.96,3.1750405706710945,-0.13558772690374474,0.006424622135557085
13.120000000000001,3.1754699432090265,-0.1346312092331478,0.0066849489288634285
13.280000000000001,3.175896050266348,-0.13362600224364887,0.006966191618953707
13.44,3.1763198243139277,-0.1325693182249445,0.007268769218907925
13.6,3.1767421594840375,-0.1314582317712839,0.007593181679447221
