theta,ReE,ImE,der
0.0,3.07631476133645,0.0,0.023973293009485953
0.16,3.0763776578058164,-0.0038352111732913906,0.02393944954260792
0.32,3.0765658152497743,-0.007656508979912377,0.023862049775142086
0.48,3.0768776346887243,-0.01145003027304902,0.023708755608684445
0.64,3.077310441078493,-0.015202015110797315,0.023493873679936595
0.8,3.077860469338521,-0.018898865174951936,0.023217167729781572
0.96,3.07852284697501,-0.02252721012282945,0.022878382477695563
1.12,3.0792915755980097,-0.026073984051120467,0.022477280098224806
1.28,3.080159514147199,-0.029526513829626705,0.022013684669372154
1.44,3.0811183673673255,-0.03287262043386712,0.021487534165085864
1.6,3.0821586834541055,-0.036100733635018305,0.020898939164416385
1.76,3.083269865322242,-0.03920001937712195,0.020248247001254153
1.92,3.084440199990296,-0.04216051800366266,0.0195361095439973
2.08,3.0856569104523905,-0.04497329016842271,0.018763552247457335
2.24,3.086906233966167,-0.04763056579993896,0.017932041704715986
2.4,3.0881735295026393,-0.05012589020134407,0.017043548922148453
2.56,3.089443415806089,-0.05245426015778065,0.0161006059721582
2.72,3.0906999394876933,-0.05461224217520359,0.01510635508908443
2.88,3.091926770312727,-0.056598064811535495,0.014064592383294001
3.04,3.093107418497411,-0.058411677574038263,0.01297981374070416
3.2,3.0942254664846525,-0.06005477021408543,0.011857280555467094
3.36,3.0952648058619388,-0.061530748337949616,0.010703141816927534
3.52,3.0962098688622786,-0.06284466398370246,0.009524686880547618
3.68,3.0970458437312094,-0.06400310280676474,0.00833088582237392
3.84,3.0977588638755424,-0.06501403262290908,0.007133570242463546
4.0,3.098336162534083,-0.06588662061376378,0.0059501134929240375
4.16,3.098766187088503,-0.0666310285058105,0.004809863570357917
4.32,3.099038670030072,-0.06725819606560941,0.0037703707544315644
4.48,3.0991446565972534,-0.06777962327502836,0.0029557544998031096
4.64,3.0990764917934723,-0.06820716073505481,0.0025974151399593953
4.8,3.0988277716366124,-0.06855281631203333,0.002874166815634587
4.96,3.098393265046721,-0.06882858399958786,0.00364231850336157
5.12,3.097768813468399,-0.06904629884895416,0.004661559914567978
5.28,3.096951215424099,-0.0692175197328314,0.005796975544998781
5.44,3.095938102740919,-0.06935343987117441,0.006988353992050412
5.6000000000000005,3.0947278142987353,-0.06946482365333274,0.00820804635478264
5.76,3.0933192721254703,-0.06956196722304292,0.009442429380181161
5.92,3.091711863476515,-0.06965467971777374,0.010684472620217076
6.08,3.0899053314748066,-0.0697522817636076,0.011930565107253837
6.24,3.087899675885845,-0.06986361783297178,0.013179034345293371
6.4,3.0856950647936174,-0.06999707928827134,0.014429392148177794
6.5600000000000005,3.0832917572879945,-0.07016063524893106,0.015681918940085027
6.72,3.0806900368145493,-0.0703618688262532,0.016937418158149732
6.88,3.0778901544730535,-0.07060801667140648,0.018197062195523916
7.04,3.074892281405926,-0.07090601019343448,0.01946229100866305
7.2,3.0716964692348543,-0.07126251716596628,0.02073474281444378
7.36,3.068302617555974,-0.07168398275348681,0.02201620536406085
7.5200000000000005,3.064710447456622,-0.07217666927776802,0.023308581200360383
7.68,3.060919480117469,-0.07274669425585631,0.024613862604970973
7.84,3.0569290196237207,-0.07340006641379732,0.025934113671005232
8.0,3.0527381391932322,-0.07414271954585742,0.027271457639122094
8.16,3.0483456701330796,-0.07498054415935235,0.02862806821804417
8.32,3.043750192913375,-0.07591941695020349,0.030006164007226735
8.48,3.0389500298359446,-0.07696522819568359,0.031408005334459414
8.64,3.0339432388437584,-0.07812390718970812,0.032835893023429666
8.8,3.0287276080862795,-0.07940144587000239,0.034292168662680284
8.96,3.023300650920488,-0.08080392079591818,0.03577921606285979
9.120000000000001,3.0176596010747354,-0.08233751364920433,0.03729946374681382
9.28,3.0118014077271837,-0.08400853041000958,0.038855388277233546
9.44,3.005722730309341,-0.08582341937905745,0.04044951815833167
9.6,2.9994199328792366,-0.08778878819079487,0.04208443838438863
9.76,2.992889077884638,-0.08991141995954112,0.043762795493957965
9.92,2.986125919218847,-0.09219828869281349,0.0454873029503804
10.08,2.9791258944497074,-0.09465657409277367,0.04726074699643205
10.24,2.9718841161066143,-0.09729367585325029,0.04908599283814663
10.4,2.9643953619500882,-0.10011722755823999,0.05096599118464515
10.56,2.956654064112795,-0.10313511026098172,0.052903785057639804
10.72,2.948654297064867,-0.10635546584001766,0.05490251696094355
10.88,2.9403897642725285,-0.10978671018522974,0.056965436426120494
11.040000000000001,2.9318537834992764,-0.11343754628631941,0.05909590778355496
11.200000000000001,2.923039270659453,-0.11731697727791686,0.06129741836443081
11.36,2.9139387221181856,-0.12143431947556417,0.06357358700288909
11.52,2.904544195375491,-0.12579921545290199,0.0659281729434775
11.68,2.8948472880058485,-0.13042164718671184,0.068365085119819
11.84,2.884839114772742,-0.13531194926108703,0.07088839179247573
12.0,2.874510282815341,-0.14048082221035066,0.07350233068857165
12.16,2.8638508647641676,-0.14593934592518357,0.07621131948054517
12.32,2.8528503697065823,-0.1516989931799699,0.07901996675699406
12.48,2.8414977118382247,-0.15777164323521142,0.08193308345008975
12.64,2.82978117670009,-0.16416959551790147,0.08495569468319378
12.8,2.8176883848300927,-0.1709055833080906,0.08809305218151568
12.96,2.8052062527001214,-0.17799278744043243,0.09135064702879883
13.120000000000001,2.79232095080855,-0.18544484992891472,0.09473422293910753
13.280000000000001,2.7790178587246843,-0.19327588745695043,0.09824979001221086
13.44,2.765281516982124,-0.20150050467358885,0.10190363888402182
13.6,2.751095575604563,-0.21013380716106705,0.10570235523685553
13.76,2.7364427391798594,-0.21919141401320194,0.10965283462195975
13.92,2.721304708271187,-0.22868946986282462,0.11376229769586707
14.08,2.7056621170349056,-0.23864465622738745,0.11803830544299113
14.24,2.6894944669838363,-0.24907420204717656,0.12248877457696816
