eta,ReE,ImE
1e-05,3.4455414095739845,-0.00655809160605411
1.0964781961431852e-05,3.445528174092155,-0.007190760566899074
1.2022644346174132e-05,3.4455122608467996,-0.00788445431269441
1.3182567385564074e-05,3.4454931279112753,-0.008645055952411844
1.445439770745928e-05,3.445470123600536,-0.009479014767243702
1.584893192461114e-05,3.4454424642313626,-0.01039340038039267
1.7378008287493764e-05,3.445409207309125,-0.011395962008297282
1.9054607179632484e-05,3.4453692192884366,-0.012495193235712737
2.089296130854041e-05,3.4453211367516814,-0.01370040278726778
2.290867652767775e-05,3.445263319620624,-0.015021791790282579
2.5118864315095822e-05,3.445193794823907,-0.016470538046449674
2.754228703338169e-05,3.445110188375178,-0.018058887845209745
3.0199517204020192e-05,3.445009643470945,-0.01980025585026089
3.3113112148259076e-05,3.444888721620404,-0.021709333583772982
3.6307805477010174e-05,3.4447432833052725,-0.02380220698762312
3.9810717055349695e-05,3.444568343657464,-0.02609648348307107
4.3651583224016566e-05,3.4443578978736626,-0.028611428811436957
4.7863009232263804e-05,3.4441047096857864,-0.03136811376447298
5.248074602497723e-05,3.4438000546177676,-0.034389570611052606
5.7543993733715664e-05,3.443433407918147,-0.03770095858938194
6.309573444801929e-05,3.442992064256838,-0.0413297371975853
6.918309709189363e-05,3.4424606731168326,-0.04530584504900729
7.585775750291836e-05,3.441820669443969,-0.04966188066323388
8.317637711026709e-05,3.4410495730729735,-0.05443327951739652
9.120108393559096e-05,3.4401201230172336,-0.05965847859212426
0.0001,3.4389992017422912,-0.06537905505504668
0.00010964781961431851,3.437646490015345,-0.07163981873538758
0.00012022644346174131,3.436012771821877,-0.07848882724031195
0.00013182567385564074,3.434037779169144,-0.0859772755153794
0.0001445439770745928,3.4316474222616753,-0.0941591843102372
0.00015848931924611142,3.4287501847080595,-0.1030907666634487
0.00017378008287493763,3.425232361866904,-0.11282927435144904
0.00019054607179632481,3.4209516601629795,-0.12343099015258667
0.0002089296130854041,3.415728415550763,-0.13494778146691713
0.00022908676527677748,3.409333256125925,-0.1474211485163966
0.0002511886431509582,3.4014692912783837,-0.1608717167849445
0.0002754228703338166,3.3917456162879396,-0.17527997938442158
0.0003019951720402016,3.379636700334344,-0.1905490367543752
0.0003311311214825911,3.364418938645978,-0.2064269755494379
0.0003630780547701014,3.34507502265707,-0.2223287958215372
0.00039810717055349735,3.3201961645336135,-0.23687863831488046
0.0004365158322401661,3.2883087161035536,-0.24665396460564318
0.00047863009232263805,3.2516017699671655,-0.2442971603227378
0.0005248074602497723,3.222991220523656,-0.22781048934557066
0.0005754399373371566,3.2074156279574946,-0.20985801796095438
0.000630957344480193,3.198632103458188,-0.19589699815702366
0.0006918309709189362,3.192891092120391,-0.1855860623199602
0.0007585775750291835,3.1886428813408054,-0.1780167277995884
0.0008317637711026709,3.1851907234942587,-0.17247755623891062
0.0009120108393559096,3.1821886935720722,-0.1684390488172637
0.001,3.17945892950038,-0.1654880362120859
0.0010964781961431851,3.1769183588377925,-0.1632849016348197
0.001202264434617413,3.1745458532750903,-0.1615421690727735
0.0013182567385564075,3.172364387058027,-0.16001757970907873
0.001445439770745928,3.170427545882738,-0.158515717516839
0.001584893192461114,3.1688060626172008,-0.15689284530620487
0.0017378008287493763,3.1675737932056607,-0.15506023742317143
0.0019054607179632482,3.166794885535057,-0.15298276598023575
0.0020892961308540386,3.1665146104806685,-0.15067179326101635
0.0022908676527677724,3.166755405528403,-0.14817367208187399
0.0025118864315095794,3.1675179280370247,-0.14555641675706377
0.002754228703338166,3.168785469596858,-0.14289711409878697
0.003019951720402016,3.17052961917501,-0.14027182952002476
0.003311311214825911,3.1727155005906256,-0.13774875135587408
0.003630780547701014,3.1753057393287527,-0.13538450642979255
0.003981071705534973,3.1782630533274174,-0.13322308634599514
0.004365158322401661,3.1815517807021463,-0.13129660773864407
0.004786300923226385,3.185138758849475,-0.12962711619333836
0.005248074602497728,3.1889938721591773,-0.1282287667147715
0.005754399373371573,3.193090429284589,-0.12710991347597705
0.006309573444801936,3.197405408277653,-0.1262748590832771
0.006918309709189363,3.201919558354251,-0.12572519605484464
0.007585775750291836,3.2066173544161347,-0.12546078722095205
0.008317637711026709,3.211486831789549,-0.12548047430278642
0.009120108393559097,3.216519350824595,-0.1257825962941369
0.01,3.2217093421051333,-0.12636537174901885
0.01096478196143185,3.227054068668061,-0.12722717483374452
0.012022644346174132,3.2325534241936866,-0.1283667219339402
0.013182567385564075,3.238209773205176,-0.12978318150799673
0.01445439770745928,3.2440278344487905,-0.13147621778942353
0.01584893192461114,3.2500146059158337,-0.13344597663140711
0.017378008287493762,3.2561793295230874,-0.13569301798388667
0.019054607179632484,3.2625334923846285,-0.13821819581440395
0.02089296130854041,3.269090859316367,-0.14102248296620523
0.022908676527677724,3.275867529805084,-0.14410673545753766
0.025118864315095794,3.2828820091396325,-0.14747138864337314
0.02754228703338166,3.290155279914,-0.1511160755687379
0.03019951720402016,3.297710854323334,-0.1550391576275404
0.03311311214825911,3.3055747814277106,-0.1592371583581649
0.03630780547701014,3.313775574774084,-0.163704095567486
0.039810717055349734,3.322344017042937,-0.16843071462140752
0.04365158322401661,3.331312790118024,-0.17340363952050897
0.04786300923226385,3.340715873334778,-0.17860447840787946
0.052480746024977286,3.3505876551992757,-0.18400894749224506
0.05754399373371572,3.3609617175896203,-0.18958610921171862
0.06309573444801936,3.3718692826092562,-0.19529785279126627
0.06918309709189363,3.3833373662206356,-0.2010987666023651
0.07585775750291836,3.3953867498354957,-0.20693655111247156
