eta,ReE,ImE
1e-05,3.0304736734065214,-0.007155738707746277
1.0964781961431852e-05,3.030478181922982,-0.007845795226051902
1.2022644346174132e-05,3.030483605919638,-0.008602326601814132
1.3182567385564074e-05,3.030490132151819,-0.009431714264661507
1.445439770745928e-05,3.0304979858538577,-0.01034094517923324
1.584893192461114e-05,3.0305074388343685,-0.011337667060038114
1.7378008287493764e-05,3.030518819346947,-0.012430247904147694
1.9054607179632484e-05,3.030532524156803,-0.0136278399434382
2.089296130854041e-05,3.0305490333344363,-0.014940448031707656
2.290867652767775e-05,3.0305689284519746,-0.016379002358057133
2.5118864315095822e-05,3.0305929150521105,-0.017955435206288315
2.754228703338169e-05,3.0306218505078704,-0.01968276124509654
3.0199517204020192e-05,3.03065677873075,-0.021575160518182868
3.3113112148259076e-05,3.0306989736309093,-0.02364806288549775
3.6307805477010174e-05,3.03074999383771,-0.025918232119751087
3.9810717055349695e-05,3.0308117519973723,-0.028403847156092614
4.3651583224016566e-05,3.030886603056545,-0.031124577094156322
4.7863009232263804e-05,3.030977457410359,-0.0341016454221013
5.248074602497723e-05,3.031087926767891,-0.037357877540723956
5.7543993733715664e-05,3.031222513225833,-0.04091772397738346
6.309573444801929e-05,3.0313868555445294,-0.044807249683527166
6.918309709189363e-05,3.031588051218317,-0.04905407750280626
7.585775750291836e-05,3.031835078880141,-0.053687271312076984
8.317637711026709e-05,3.0321393531276324,-0.058737141520096216
9.120108393559096e-05,3.032515453170704,-0.0642349525985103
0.0001,3.0329820777915963,-0.07021250905317895
0.00010964781961431851,3.0335632916478366,-0.07670159236177304
0.00012022644346174131,3.0342901410784022,-0.08373321583702414
0.00013182567385564074,3.0352027296699515,-0.09133665463027699
0.0001445439770745928,3.036352852288292,-0.09953818898354673
0.00015848931924611142,3.0378072871196347,-0.10835946062585722
0.00017378008287493763,3.03965183346322,-0.1178152676752865
0.00019054607179632481,3.0419961500948203,-0.12791048434263824
0.0002089296130854041,3.0449793804692913,-0.13863554393925237
0.00022908676527677748,3.0487764103580397,-0.14995950167560512
0.0002511886431509582,3.053604296034587,-0.16181900699852755
0.0002754228703338166,3.059727676340969,-0.17410045508500185
0.0003019951720402016,3.067460220731957,-0.1866111074539336
0.0003311311214825911,3.077154941333724,-0.19903345843161596
0.0003630780547701014,3.089166707386164,-0.21085783917319736
0.00039810717055349735,3.103752333026669,-0.2212998211116479
0.0004365158322401661,3.1208552043666415,-0.22925492892320662
0.00047863009232263805,3.1397667497330977,-0.23344910459380952
0.0005248074602497723,3.158910857584574,-0.23299086864863713
0.0005754399373371566,3.1762840486678074,-0.22809409632723207
0.000630957344480193,3.1904686700012106,-0.22008903735361507
0.0006918309709189362,3.2011365245558476,-0.21057916420645723
0.0007585775750291835,3.208700827079098,-0.2007500836410802
0.0008317637711026709,3.213809344563133,-0.19126628843281185
0.0009120108393559096,3.2170781552386862,-0.18243593962950863
0.001,3.2190164174398808,-0.17437617397750066
0.0010964781961431851,3.220027598311847,-0.16711682645222772
0.001202264434617413,3.220429096526311,-0.16065550282091987
0.0013182567385564075,3.2204712997696303,-0.1549838434165929
0.001445439770745928,3.2203524207917593,-0.15009814460357657
0.001584893192461114,3.2202298232995266,-0.14600186971057166
0.0017378008287493763,3.220229138345351,-0.14270427686460485
0.0019054607179632482,3.2204520563948407,-0.14021752352868277
0.0020892961308540386,3.2209831925299786,-0.13855348728410716
0.0022908676527677724,3.221896108523052,-0.13772084004456983
0.0025118864315095794,3.2232584356211533,-0.1377224860227952
0.002754228703338166,3.2251360053561506,-0.1385532457195653
0.003019951720402016,3.227595894371118,-0.14019758153827483
0.003311311214825911,3.230708280885178,-0.142627169625518
0.003630780547701014,3.23454697942507,-0.14579819644906314
0.003981071705534973,3.239188471762797,-0.14964838284495788
0.004365158322401661,3.2447092061352647,-0.15409391079265233
0.004786300923226385,3.251180928843789,-0.15902665155828094
0.005248074602497728,3.258663892198845,-0.16431236210032196
0.005754399373371573,3.26719801196931,-0.16979079691547427
0.006309573444801936,3.27679248275489,-0.17527889329578078
0.006918309709189363,3.287415014011887,-0.18057818475433818
0.007585775750291836,3.2989826289846245,-0.18548719000486058
0.008317637711026709,3.3113566107670542,-0.18981855912208245
0.009120108393559097,3.3243442600875457,-0.19341927274535547
0.01,3.337709227515202,-0.19619057745418922
0.01096478196143185,3.351190209597833,-0.19810334459239143
0.012022644346174132,3.364525292322691,-0.19920492188503816
0.013182567385564075,3.3774772686282035,-0.1996155180733294
0.01445439770745928,3.389854874317157,-0.19951503261015519
0.01584893192461114,3.401526316064966,-0.19912373518184398
0.017378008287493762,3.4124239592891716,-0.19868125951566887
0.019054607179632484,3.42254141195597,-0.19842781135937523
0.02089296130854041,3.431925620847884,-0.19858991939893092
0.022908676527677724,3.4406668228917097,-0.19937134654361313
0.025118864315095794,3.4488886247260133,-0.20094852528983573
0.02754228703338166,3.4567396165461597,-0.20346925735669755
0.03019951720402016,3.464387124398283,-0.20705330182755105
0.03311311214825911,3.472013126165709,-0.21179364834667236
0.03630780547701014,3.479812007487493,-0.21775754671200878
0.039810717055349734,3.4879896518505418,-0.22498663125187557
0.04365158322401661,3.4967632686261148,-0.23349569571636092
0.04786300923226385,3.506361302481986,-0.2432698437845942
0.052480746024977286,3.5170226979766657,-0.25425988860247967
0.05754399373371572,3.528994696903087,-0.2663760421525898
0.06309573444801936,3.5425282292430027,-0.27948017003279313
0.06918309709189363,3.5578698568532015,-0.2933772412128034
0.07585775750291836,3.5752492182738793,-0.3078071206239572
