eta,ReE,ImE
1e-05,3.082873074051874,-0.007152869043286117
1.0964781961431852e-05,3.082866997013622,-0.00784269810815196
1.2022644346174132e-05,3.082859694268655,-0.008598995823957838
1.3182567385564074e-05,3.0828509194397387,-0.009428148038234779
1.445439770745928e-05,3.0828403770001294,-0.010337148161056367
1.584893192461114e-05,3.0828277126357935,-0.011333653087905274
1.7378008287493764e-05,3.0828125017920947,-0.012426043673358016
1.9054607179632484e-05,3.082794236097109,-0.013623489933213027
2.089296130854041e-05,3.0827723073165134,-0.0149360210909411
2.290867652767775e-05,3.082745988462561,-0.016374600493999174
2.5118864315095822e-05,3.0827144116552145,-0.017951205297823368
2.754228703338169e-05,3.0826765423273823,-0.019678910640126265
3.0199517204020192e-05,3.082631149389883,-0.02157197779276134
3.3113112148259076e-05,3.082576771042364,-0.023645945468226588
3.6307805477010174e-05,3.0825116760652755,-0.02591772305818952
3.9810717055349695e-05,3.082433820686589,-0.028405684075429222
4.3651583224016566e-05,3.082340801545293,-0.031129757446445954
4.7863009232263804e-05,3.0822298059367017,-0.03411151355350079
5.248074602497723e-05,3.0820975615256003,-0.03737424106146815
5.7543993733715664e-05,3.081940289169105,-0.04094300962234401
6.309573444801929e-05,3.081753664556419,-0.04484471260857666
6.918309709189363e-05,3.081532797222928,-0.04910808323515308
7.585775750291836e-05,3.081272239310228,-0.05376367703929522
8.317637711026709e-05,3.0809660413718447,-0.05884381408631528
9.120108393559096e-05,3.0806078786169966,-0.06438247602591975
0.0001,3.080191278073268,-0.0704151569931622
0.00010964781961431851,3.0797099846758678,-0.0769786742504606
0.00012022644346174131,3.0791585110985413,-0.08411095533371095
0.00013182567385564074,3.0785329202206166,-0.0918508339220755
0.0001445439770745928,3.077831887521,-0.10023790641928121
0.00015848931924611142,3.0770580796966978,-0.10931252324270536
0.00017378008287493763,3.076219861857064,-0.11911600813399485
0.00019054607179632481,3.0753333072501983,-0.12969120684683194
0.0002089296130854041,3.074424434256933,-0.14108345149110085
0.00022908676527677748,3.0735315475864367,-0.15334197631613003
0.0002511886431509582,3.072707537011937,-0.1665217281303177
0.0002754228703338166,3.0720220181577664,-0.1806853872536702
0.0003019951720402016,3.0715633140751333,-0.19590528086182843
0.0003311311214825911,3.071440483893156,-0.21226477628229398
0.0003630780547701014,3.07178588482411,-0.22985873616914043
0.00039810717055349735,3.0727590560346267,-0.24879272524526388
0.0004365158322401661,3.0745529818886763,-0.2691808566897988
0.00047863009232263805,3.0774040058885213,-0.29114238046344315
0.0005248074602497723,3.0816068722663075,-0.3147972344268909
0.0005754399373371566,3.0875367081385505,-0.34026066556528395
0.000630957344480193,3.095680485731128,-0.3676364899489801
0.0006918309709189362,3.1066821012808825,-0.39700721728192134
0.0007585775750291835,3.121408647940976,-0.42841620348363063
0.0008317637711026709,3.141052876812044,-0.4618297397675028
0.0009120108393559096,3.167303069911484,-0.4970480165481968
0.001,3.202647122650809,-0.5334767787814595
0.0010964781961431851,3.250944815773335,-0.5694669455057026
0.001202264434617413,3.3183369216910843,-0.6000538197334956
0.0013182567385564075,3.4110493964870283,-0.6085880145630207
0.001445439770745928,3.5039459782885376,-0.5652915933499255
0.001584893192461114,3.553975759408402,-0.4994042096773632
0.0017378008287493763,3.577842243393693,-0.44296485429720606
0.0019054607179632482,3.5907772977439554,-0.39699144648661006
0.0020892961308540386,3.5985147156567576,-0.35886479182166087
0.0022908676527677724,3.6034671258740634,-0.3266501515682315
0.0025118864315095794,3.6068124194959528,-0.2990701931746358
0.002754228703338166,3.6091914419787,-0.2752627977166214
0.003019951720402016,3.6109811529480345,-0.25462258997306825
0.003311311214825911,3.61241710423204,-0.23670763776606488
0.003630780547701014,3.6136544083284297,-0.221183956835744
0.003981071705534973,3.614800595763499,-0.2077914142952843
0.004365158322401661,3.615934407493946,-0.1963219776447118
0.004786300923226385,3.6171170052927835,-0.1866052792249835
0.005248074602497728,3.618398817140616,-0.17849862935714614
0.005754399373371573,3.6198236994870383,-0.17187980304038347
0.006309573444801936,3.6214313224368433,-0.16664160806471787
0.006918309709189363,3.6232582688313486,-0.1626876555090674
0.007585775750291836,3.625338110519494,-0.15992902207681087
0.008317637711026709,3.6277006078565326,-0.15828168349075014
0.009120108393559097,3.630370138770884,-0.15766474119061505
0.01,3.633363488687088,-0.1579995701839052
0.01096478196143185,3.6366872147185187,-0.1592100760941737
0.012022644346174132,3.6403349229421917,-0.16122424373550637
0.013182567385564075,3.6442849355428844,-0.16397706384670657
0.01445439770745928,3.6484989225655804,-0.1674147270780922
0.01584893192461114,3.6529220636522326,-0.17149969575494478
0.017378008287493762,3.657485131522051,-0.17621597278337725
0.019054607179632484,3.6621085426591984,-0.18157369243432464
0.02089296130854041,3.6667079720465066,-0.1876121695931194
0.022908676527677724,3.671200719906957,-0.19440081165908069
0.025118864315095794,3.675511805751448,-0.20203776357163755
0.02754228703338166,3.679578837593902,-0.210646668785007
0.03019951720402016,3.683355031736058,-0.22037231076500663
0.03311311214825911,3.6868102087909764,-0.2313760381774068
0.03630780547701014,3.6899300037647897,-0.24383176982153285
0.039810717055349734,3.6927137893990714,-0.2579231100880046
0.04365158322401661,3.6951718924323615,-0.27384180001372893
0.04786300923226385,3.697322619589464,-0.2917874752571533
0.052480746024977286,3.6991894705829202,-0.31196854336144875
0.05754399373371572,3.7007987603414914,-0.3346039277469606
0.06309573444801936,3.702177740917443,-0.3599254301626078
0.06918309709189363,3.7033532207216346,-0.38818050661288533
0.07585775750291836,3.704350624486778,-0.4196353092699183
