L,E1,E2,E3,E4,E5,E6
0.0006250000000000003,-7.170508172285441,0.21231020353118288,0.7061155607181994,1.4736960536982247,2.44618429901841,3.155482814492508
0.0006398592077944362,-7.170508171159222,0.2186477179397899,0.7279489306003091,1.5178126932981937,2.510341224193473,3.1812368694761406
0.0006550716892789179,-7.1705080351212045,0.2252073980405251,0.7505323968686111,1.5632601853065735,2.574643563650464,3.207221673433145
0.0006706458434409141,-7.170508056484972,0.2319985410921434,0.7738933254305637,1.6100671792328756,2.638588024433969,3.2343935908835078
0.0006865902689515753,-7.170508090417841,0.23903089539227018,0.7980599972805608,1.658260493516555,2.701515524204802,3.2637789627917524
0.0007029137689131585,-7.170508137259509,0.24631468428779643,0.8230616188080011,1.7078644784894084,2.7625997437090426,3.296506159831046
0.0007196253557193197,-7.170508043275354,0.2538606315001556,0.848928328820647,1.7589002138668142,2.8208761773842386,3.333794144996555
0.0007367342560309648,-7.170508114809046,0.26167998775672313,0.8756912012492591,1.8113844845544511,2.8753420827396146,3.376865681999013
0.000754249915870394,-7.170508042556528,0.2697845589761802,0.9033822434731441,1.8653284768258411,2.925137191289662,3.426778269865378
0.0007721820058365612,-7.170508140010377,0.2781867357804057,0.9320343880968757,1.920736084488074,2.969753534843311,3.4842218174711075
0.0007905404264443208,-7.17050809044276,0.2868995246809518,0.9616814785925673,1.977601721939623,3.0091677819534888,3.5493946430733385
0.0008093353135906218,-7.170508051813983,0.2959365808153089,0.9923582458893835,2.035907444017747,3.043815095076965,3.622035154710369
0.0008285770441506514,-7.170508024342,0.305312242353642,1.0241002757617634,2.095619161017283,3.0744350741588495,3.701582928231768
0.0008482762417070258,-7.170508008248105,0.3150415666250032,1.0569439642403682,2.156681611895789,3.1018913555941774,3.787365929894163
0.0008684437824151984,-7.17050800375829,0.32514036806057023,1.09092645926771,2.2190116717730755,3.1270442242281784,3.878736006553659
0.0008890908010083086,-7.170508011156645,0.33562525785495567,1.1260855856849168,2.2824894347861107,3.150693888928436,3.9751355524290743
0.0009102286969447949,-7.170508030750619,0.3465136856068365,1.1624597505206962,2.3469463925040417,3.173575949244821,4.076114612079694
0.000931869140702173,-7.170508062839689,0.35782398272851007,1.2000878244276278,2.4121499848807777,3.1963856365451933,4.181322639268291
0.0009540240802204385,-7.170508107779524,0.3695754078381036,1.2390089945465188,2.477784019860388,3.21981503193408,4.290491277214032
0.0009767057474986652,-7.170508165950112,0.381788193994035,1.2792625827212978,2.5434253256747814,3.2445947243770306,4.403416384322706
0.0009999266653484293,-7.170508055868817,0.39448359783531706,1.3208878218511988,2.608519246756814,3.2715343160433203,4.519942525200211
