L,z,E1,E2,E3,E4,E5,E6,E7
1.8257418583505538,0.3,-7.170447562612228,0.08790797567706564,0.31125229888193345,0.7448514527469757,1.8870521221806154,3.208072038257913,6.198476062146206
1.7958708555509897,0.310062893081761,-7.170447464670443,0.09117377452588575,0.3236943025307323,0.7763319296971661,1.9738405578835605,3.2287149814681664,6.323011936347721
1.7674196168881628,0.320125786163522,-7.17044737115807,0.09446721936432234,0.3362417905369872,0.8082944217151287,2.059986618679043,3.250052451276388,6.445424263855759
1.740279123753264,0.330188679245283,-7.170447283162037,0.0977886282680339,0.3488948984892971,0.8407405301238973,2.1450851005644913,3.272480537509795,6.565789971646151
1.7143517283302268,0.340251572327044,-7.170447201477389,0.10113826568427586,0.3616539438641501,0.8736708739905693,2.2286831369445226,3.2964279771979057,6.684193971035357
1.6895496728264416,0.350314465408805,-7.1704471266366125,0.10451634423092426,0.3745193931502688,0.9070850566823859,2.3102753333259565,3.322365582129286,6.800725626228676
1.6657938377685408,0.360377358490566,-7.1704470589393114,0.10792302702498964,0.38749183333477144,0.9409816419138719,2.3893034571134995,3.350810034600466,6.915476190445515
1.643012678630089,0.370440251572327,-7.170446998481709,0.11135843044883609,0.4005719472947113,0.9753581381359845,2.465164779704725,3.382318208217275,7.028536958373095
1.6211413181933645,0.380503144654088,-7.170446945185189,0.11482262727234684,0.4137604926729132,1.0102109901989578,2.5372340194315943,3.4174672566239193,7.139997949276712
1.6001207683890462,0.390566037735849,-7.170446898823424,0.11831565004341263,0.4270582838069653,1.0455355771652033,2.604902901525416,3.4568165990754167,7.249946983649942
1.5798972603363204,0.40062893081761003,-7.170446859047939,0.12183749466449749,0.4404661763038388,1.0813262151421075,2.667637009431798,3.5008522388992604,7.358469051553294
1.560421665241082,0.41069182389937103,-7.170446825411785,0.12538812408227928,0.45398505390021987,1.1175761640747581,2.7250414737781994,3.5499219531882815,7.4656458970464215
1.5416489919400511,0.4207547169811321,-7.17044679739126,0.1289674720205678,0.4676158172709565,1.1542776374273596,2.7769182714508713,3.604178646474843,7.571555762336333
1.5235379493834995,0.4308176100628931,-7.170446774405603,0.13257544669777463,0.4813593744933793,1.1914218137334271,2.8232951516689435,3.663551902074167,7.676273249569788
1.5060505643653228,0.4408805031446541,-7.170446755834725,0.13621193447703847,0.49521663290630613,1.2289988489818287,2.8644144593024943,3.727759500182799,7.779869268708246
